Best of each GenerationR_b, L_A, L_D, e
611.7461,90.4815,198.8855,-3.3297
656.5904,50.3822,232.3142,-3.3297
656.5904,50.3822,232.3142,-3.3297
656.5904,50.3822,235.1518,-0.6813
656.5904,50.3822,235.1518,-0.6813
656.5904,50.3822,235.1518,-0.6813
669.6034,50.3822,242.4034,-0.6813
669.6034,50.3822,242.4034,-0.6813
669.6034,50.3822,242.4034,-0.6813
669.5293,50.3822,242.4034,-0.6813
669.5293,50.3822,242.4034,-0.6813
666.3077,50.3822,243.7974,-0.6813
666.3077,50.3822,243.7974,-0.6813
669.6034,50.3822,249.0602,-0.6813
669.6034,50.3822,249.0602,-0.6813
669.6034,50.3822,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.3500,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.6813
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.1334,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,-0.3756
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.0602,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
